D_ID,DIRECTOR
999,John Asher
1000,Mark Neveldine
1001,Neil Burger
1002,Rakeysh Omprakash Mehra
1003,Jody Hill
1004,Kirsten Sheridan
1005,John Carney
1006,Sergei Bodrov
1007,Alan Ball
1008,Sylvain White
1009,Carter Smith
1010,Pete Travis
1011,Shamim Sarif
1012,Frédéric Forestier
1013,Alex Kendrick
1014,Darnell Martin
1015,Ruben Fleischer
1016,Neill Blomkamp
1017,Marcus Dunstan
1018,Charles Guard
1019,Shane Acker
1020,Cheryl Hines
1021,Glenn Ficarra
1022,Francesca Gregorini
1023,Joseph Kosinski
1024,Lee Unkrich
1025,Ryan Murphy
1026,Anand Tucker
1027,Larysa Kondracki
1028,Daniel Espinosa
1029,Mitch Glazer
1030,Drew Goddard
1031,Tate Taylor
1032,Daniel Nettheim
1033,Joe Cornish
1034,John Michael McDonagh
1035,Andrew Haigh
1036,Alister Grierson
1037,Morten Tyldum
1038,Jason Moore
1039,Craig Zobel
1040,Steve Martino
1041,M.J. Bassett
1042,Lee Kirk
1043,Felix van Groeningen
1044,Todd Lincoln
1045,Lee Toland Krieger
1046,Cal Brunker
1047,Joseph Gordon-Levitt
1048,Nat Faxon
1049,Aharon Keshales
1050,Don McKellar
1051,Daniel Schechter
1052,Ken Scott
1053,Justin Zackham
1054,Gia Coppola
1055,Joshua Michael Stern
1056,Charlie Stratton
1057,Ritesh Batra
1058,Robert Stromberg
1059,Angelina Jolie
1060,Damián Szifron
1061,Leigh Janiak
1062,Wally Pfister
1063,Rowan Joffe
1064,Yann Demange
1065,Trish Sie
1066,James Simone
1067,Ruben Östlund
1068,Peter Strickland
1069,Roberts Gannaway
1070,Robert Eggers
1071,John Francis Daley
1072,Peter Sohn
1073,Duke Johnson
1074,Nishikant Kamat
1075,Martin Zandvliet
1076,Michael Showalter
1077,Alessandro Carloni
1078,David F. Sandberg
1079,Kelly Fremon Craig
1080,Clay Kaytis
1081,Chris Peckover
1082,Susan Johnson
1083,Ewan McGregor
1084,Sarah Adina Smith
1085,Stella Meghie
1086,Hany Abu-Assad
1087,Francis Lee
1088,Mike White
1089,Kevin Phillips
1090,Robin Campillo
1091,Jeff Tomsic
1092,Nadine Labaki
1093,Desiree Akhavan
1094,Tom Harper
1095,Michael Chaves
1096,Malik Bader
1097,Vikas Bahl
1098,Laure de Clermont-Tonnerre
1099,Abhishek Varman
1100,Jagan Shakti
1101,Britt Poulton
1102,Chuck Konzelman
1103,Roxanne Benjamin
1104,Chris Sanders
1105,Kenneth Smith
1106,Nkanya Nkwai
1107,Joe Nussbaum
1108,Tom Vaughan
1109,Juan Carlos Fresnadillo
1110,Ash Brannon
1111,Simon J. Smith
1112,Jim Field Smith
1113,Scott Stewart
1114,Nikolaj Arcel
1115,Joachim Rønning
1116,David Robert Mitchell
1117,Ryan Gosling
1118,Jeremy Garelick
1119,Tim Miller
1120,Thea Sharrock
1121,Maren Ade
1122,Taylor Sheridan
1123,Matt Spicer
1124,Andy Serkis
1125,Elise Durán
1126,Joo-hwan Kim
1127,Kirill Mikhanovsky
1128,Shelly Chopra Dhar
1129,Richard Grieco
1130,Apichatpong Weerasethakul
1131,Ryan Coogler
1132,Jemaine Clement
1133,Shin'ichirô Ushijima
1134,Jay Sandrich
1135,Kevin Connor
1136,Nancy Walker
1137,Daniel Petrie
1138,Steve Gordon
1139,Jerry Jameson
1140,Jerry Schatzberg
1141,Larry Peerce
1142,Sydney Pollack
1143,Bob Rafelson
1144,Gus Trikonis
1145,Byron Quisenberry
1146,Richard Donner
1147,Clive Donner
1148,Ivan Reitman
1149,Ivan Passer
1150,Michael Crichton
1151,Steven Hilliard Stern
1152,Garry Marshall
1153,Hal Ashby
1154,Bruce Paltrow
1155,Wim Wenders
1156,Lewis Teague
1157,Wolf Gremm
1158,Robert Taylor
1159,Adrian Lyne
1160,Noel Black
1161,Dick Lowry
1162,Bob Fosse
1163,Nagisa Ôshima
1164,Peter Sasdy
1401,John Sayles
1402,Robert Lieberman
1403,Nick Castle
1404,Leonard Nimoy
1405,Richard Tuggle
1406,Paul Bogart
1407,Károly Makk
1408,Susan Seidelman
1409,Kevin Reynolds
1410,Rudy De Luca
1411,Donna Deitch
1412,James Frawley
1413,Sam Peckinpah
1414,Robert Dalva
1415,Michael Radford
1416,Stewart Raffill
1417,David Lean
1418,Hy Averback
1419,Willard Huyck
1420,Mark Buntzman
1421,Richard Pearce
1422,Rod Amateau
1423,Lawrence Bassoff
1424,Rod Daniel
1425,Luc Besson
1426,Jim Sotos
1427,Luis Puenzo
1428,Hal Barwood
1429,David Hare
1430,Georges Lautner
1431,Howard Deutch
1432,John McNaughton
1433,Leos Carax
1434,Randa Haines
1435,Pedro Almodóvar
1436,Tom DeSimone
1437,Robert M. Young
1438,Andrew Lane
1439,Frank Harris
1440,Tom Mankiewicz
1441,Tibor Takács
1442,Lyndall Hobbs
1443,Janice Karman
1444,Jeff Bleckner
1445,Lindsay Anderson
1446,Lee Harry
1447,Melvin Frank
1448,Michael Hoffman
1449,John Duigan
1450,Peter Greenaway
1451,Stephen Chiodo
1452,Robert Bierman
1453,Ramón Menéndez
1454,Francis Megahy
1455,Kenneth Johnson
1456,Geoff Burrowes
1457,Catherine Breillat
1458,William Shatner
1459,Chris Walas
1460,David Webb Peoples
1461,Thomas J. Wright
1462,Jane Campion
1463,Jim Kouf
1464,Ildikó Enyedi
1465,Volker Schlöndorff
1466,Reginald Hudlin
1467,James Orr
1468,Martin Sheen
1469,Gary Nelson
1470,Jim Drake
1471,Mira Nair
1472,Glenn Gordon Caron
1473,Joe Pytka
1474,Jeff Burr
1475,James Isaac
1476,Robert Wise
1477,John Lafia
1478,Bob Hathcock
1479,Yves Robert
1480,John Erman
1481,Greydon Clark
1482,Christian Vincent
1483,Dan Aykroyd
1484,Isao Takahata
1485,Terry Hughes
1486,Bobcat Goldthwait
1487,Alain Corneau
1488,Julie Dash
1489,David Fincher
1490,Brett Leonard
1491,Sally Potter
1492,Régis Wargnier
1493,Ryû Murakami
1494,Roeland Kerbosch
1495,Ringo Lam
1496,Arthur Allan Seidelman
1497,Albert Hughes
1498,Duwayne Dunham
1499,Jennifer Lynch
1500,Fraser C. Heston
1501,Victor Nunez
1502,Kaige Chen
1503,Stephen Sommers
1504,Sang-ok Shin
1505,Ang Lee
1506,Patrick Hasburgh
1507,Sam Shepard
1508,Steven E. de Souza
1509,Sam Weisman
1510,Peter Segal
1511,John Pasquin
1512,Betty Kaplan
1513,Steven Seagal
1514,David O. Russell
1515,Doug McHenry
1516,Adam Resnick
1517,Boaz Yakin
1518,Stuart Orme
1519,George Huang
1520,Gérard Corbiau
1521,Xavier Koller
1522,Brad Silberling
1523,Holly Goldberg Sloan
