C_ID,COMPANY
862,Indiana Production
863,Green Fish Pictures
864,Hunter Killer Productions
865,FilmNation Entertainment
866,Nordisk Film / SPRING
867,Conglomerate Media
868,Item 7
869,Chris Morgan Productions
870,Entertainment Studios Motion Pictures
871,Solution Entertainment Group
872,Fox STAR Studios
873,Ellinas Multimedia
874,ESX Entertainment
875,Julian Marsh Pictures
876,Haishang Films
877,GP Pictures
878,Magnolia Pictures
879,First Sun
880,GMT Productions
1301,Translux
1302,Paramount Animation
1303,Onyx Films
1304,Fairview Entertainment
1305,Apeitda
1306,Aviron Pictures
1307,Brightlight Pictures
1308,Emphatic Films
1309,Poetic License Production
1310,Hartbeat Productions
1311,Universal Pictures
1312,Rastar Films
1313,Diversity Music
1314,Mike Lobell Productions
1315,Cinema '84
1316,Saga Productions Inc.
1317,Allen Smithee Classic Films
1318,Lorimar Film Entertainment
1319,The South Australian Film Corporation
1320,The Ladd Company
1321,Charles H. Schneer Productions
1322,Zoetrope Studios
1323,Byzantine Productions
1324,Efer Productions
1325,Permut Presentations
1326,Blustarr
1327,Harold Robbins International Company
1328,Delphi Films
1329,Double Play
1330,Winwood Productions
1331,Gaylord Productions
1332,Pirromount Pictures
1333,Artistry Limited
1334,The Cannon Group
1335,A&M Films
1336,Spectrum Cinema Productions
1337,Filmtrex
1338,American Playhouse
1339,Lantana
1340,Century Video Corporation
1341,Silver Screen Partners II
1342,DIC Entertainment
1343,Entertainment Events
1344,Filmauro
1345,Centre national du cinéma et de l'image animée (CNC)
1346,Alternate Current
1347,Initial Pictures
1348,Freddie Fields Productions
1349,DD Productions
1350,Scary Stuff
1351,Canadian Broadcasting Corporation (CBC)
1352,Griffon Productions
1353,Miramax
1354,Cinequanon
1355,Alive Films
1356,Columbia Pictures Industries
1357,7 Films Cinéma
1358,Callender Company
1359,NBC Productions
1360,Vision PDG
1361,In-Gear Film Production
1362,Zacharias-Buhai Productions
1363,Miracle Pictures
1364,Producers Representative Organization
1365,Norman Twain Productions
1366,Alleged Productions
1367,FM Entertainment
1368,High Bar Productions
1369,AM/PM Entertainment
1370,Cinéa
1371,American Playhouse Theatrical Films
1372,Double Helix Films
1373,Bioskop Film
1374,Silver Screen Partners IV
1375,Victor & Grais
1376,Fugitive TV Productions
1377,Erre Produzioni
1378,Action Communications
1379,Sands
1380,Zanuck/Brown Productions
1381,Cecchi Gori Group Tiger Cinematografica
1382,Silver Screen Partners III
1383,Davis Entertainment
1384,Kouf/Bigelow Productions
1385,Laurence Mark Productions
1386,Tristes Tropiques
1387,Lambart Productions
1388,France 3 Cinéma
1389,Little Tokyo Productions
1390,Argos Films
1391,Movie Partners
1392,IRS Media
1393,Arena
1394,Esperanto Filmoj
1395,Grand Highway Productions
1396,Kasdan Pictures
1397,Les Artistes Anonymes
1398,Fifth Avenue Entertainment
1399,DENTSU Music And Entertainment
1400,Sigma Film Productions
1401,Why Not Productions
1402,Green Umbrella Ltd.
1403,August Entertainment
1404,Parkway Productions
1405,Sheen Productions
1406,Some Film
1407,Jersey Films
1408,Admire Productions Ltd.
1409,Channel Films
1410,Ben-Ami/Leeds Productions
1411,Constellation Entertainment
1412,Dualstar Productions
1413,Suburban Pictures
1414,Sweetland Films
1415,Tapestry Films
1416,Available Light Productions
1417,Fast Films
1418,Republic Pictures (II)
1419,Rysher Entertainment
1420,Oxford Film Company
1421,Cantaloupe Production
1422,Lee Rich Productions
1423,Bazmark Films
1424,Tim Burton Productions
1425,Digital Image Associates
1426,Fox 2000 Pictures
1427,ARTE
1428,The Kushner-Locke Company
1429,ABC Productions
1430,Eleventh Street Production
1431,PVM Entertainment
1432,Good Dog Productions LLC
1433,Guild
1434,Working Dog
1435,Norsk Film
1436,Butcher's Run Films
1437,Summit Entertainment
1438,Amen Ra Films
1439,American Empirical Pictures
1440,DreamWorks Animation
1441,Shooting Gallery
1442,Knock Films A.V.V.
1443,Allegro Films
1444,Cheerleader LLC
1445,Asymmetrical Productions
1446,Baldwin/Cohen Productions
1447,FilmFour
1448,7 Arts International
